12,13,20,8,y_signal_changes,rv_signal_changes,18,x_max,rv_std,29,25,x_min,28,14,7,z_max,17,x_signal_changes,30,z_signal_changes,16,19,11,37,10,39,y_min,y_rms,4,5,1,38
7,4,4,8,27,0,21,2.080331869375892,0.804052798283799,3,59,-2.497505267824108,5,13,29,3.75336618545225,45,28,23,34,56,15,4,5,2,3,-2.68141691813803,0.2783007951848038,28,51,7,2
9,10,5,5,27,0,18,2.0784823602758915,0.8904094316672887,5,59,-2.497505267824108,4,15,30,3.75336618545225,29,27,23,38,57,11,2,6,2,4,-2.68141691813803,0.2990754483106255,25,48,9,5
12,16,7,4,25,0,10,2.275592688675892,0.8765926918519091,5,53,-2.192710417324108,5,39,8,3.6321777807522495,19,30,27,35,37,7,5,2,3,4,-2.00412601903803,0.2396614493182891,45,48,8,9
20,46,8,6,23,0,3,2.275592688675892,0.9024272313496052,3,60,-2.192710417324108,7,65,11,3.8714590367522494,8,32,26,29,16,3,7,6,5,3,-1.9863457091380297,0.2962178241731899,43,43,5,6
15,48,5,7,28,0,3,1.966552260575892,0.883616078685378,2,80,-2.141928984924108,7,58,19,3.8714590367522494,5,29,27,30,15,3,8,8,9,3,-1.9863457091380297,0.298412065814089,40,48,6,3
11,15,6,11,27,0,14,1.966552260575892,0.7727126198204185,3,60,-2.3023752906241084,6,38,21,3.4856996214522504,29,28,19,36,35,14,3,9,5,1,-2.02516260723803,0.2490145881849763,27,50,4,2
10,19,2,10,24,0,20,1.871869123675892,0.8070939197148834,4,74,-2.304387591324108,6,41,28,3.70442345315225,22,31,22,34,29,13,6,5,5,4,-2.02516260723803,0.2919313218403846,24,41,4,1
5,19,2,19,23,0,15,1.871869123675892,0.7951820893983607,3,71,-3.0272507355241083,6,38,42,3.70442345315225,24,30,13,28,30,11,15,7,5,3,-1.8920339741380297,0.2800187081737477,26,32,5,1
13,15,5,19,24,0,12,1.839378271275892,0.742085837942321,5,54,-3.0272507355241083,4,45,53,3.3282891937522505,21,29,9,33,32,6,6,6,2,2,-2.37325078203803,0.3328066976340986,18,33,2,3
9,19,2,4,24,0,12,1.839378271275892,0.7729334679566315,3,65,-2.172437080724108,6,49,44,3.9252911106522506,20,31,16,36,38,6,5,5,3,3,-2.37325078203803,0.3281702201611597,25,43,10,2
9,19,2,4,26,0,12,2.223049342075892,0.8328856538743503,3,71,-2.092579323424108,7,44,11,3.9252911106522506,27,32,26,38,27,6,4,3,6,4,-2.23875429693803,0.3217652522004914,30,45,10,2
11,17,3,7,26,0,14,2.223049342075892,0.8608064110588199,7,65,-2.2918746839241084,6,40,18,3.6807533777522505,28,32,23,33,24,7,6,3,7,3,-2.23875429693803,0.360315185935087,22,45,9,7
13,17,3,20,25,0,9,1.7644989088758918,0.7898722724424966,4,58,-2.525655632224108,8,32,30,3.5815948746522506,28,31,13,23,37,7,5,2,9,6,-2.14641352193803,0.3385595677202106,32,30,6,1
7,14,11,32,30,0,8,1.4939761450758915,0.7422640360448753,3,47,-2.8108015262241084,9,29,39,2.6936265307522502,20,29,17,25,48,5,6,15,4,1,-2.42775674073803,0.2983917471946704,22,30,3,2
7,16,1,18,29,0,7,1.831700345475892,0.804751749526539,3,63,-2.8108015262241084,7,38,39,3.5354754491522504,27,30,21,34,42,6,6,2,4,1,-2.42775674073803,0.3216261224268181,35,43,4,2
